"Id";"Designator";"Footprint";"Quantity";"Designation";"Supplier and ref";
1;"C82,C100,C101,C123,C84,C99,C53,C54,C96,C113,C118,C71,C80,C121,C45";"C_0805_2012Metric_Pad1.18x1.45mm_HandSolder";15;"~";;;
2;"TP3";"TestPoint_Pad_D1.0mm";1;"TX2_PRE";;;
3;"C62,C31,C108,C30,C63,C107";"C_0805_2012Metric_Pad1.18x1.45mm_HandSolder";6;"100p";;;
4;"C17,C87,C122,C88,C12,C40,C6,C70,C39,C66,C72,C68,C85,C111,C19,C24,C110,C25,C20,C112,C60,C52,C93,C32,C105,C114,C103,C91,C67,C92,C58,C94,C21,C109";"CP_EIA-2012-12_Kemet-R_Pad1.30x1.05mm_HandSolder";34;"0.1u";;;
5;"L24,L13";"L_0805_2012Metric_Pad1.15x1.40mm_HandSolder";2;"6.8n";;;
6;"L10,L9";"L_0805_2012Metric_Pad1.15x1.40mm_HandSolder";2;"560n";;;
7;"C76,C73";"C_0805_2012Metric_Pad1.18x1.45mm_HandSolder";2;"33p";;;
8;"C14,C4,C10";"CP_EIA-2012-12_Kemet-R_Pad1.30x1.05mm_HandSolder";3;"100n";;;
9;"Q5";"TSOT-23_HandSoldering";1;"Q_NPN_BEC";;;
10;"R26,R27";"R_0805_2012Metric_Pad1.20x1.40mm_HandSolder";2;"NC";;;
11;"C69";"C_0805_2012Metric_Pad1.18x1.45mm_HandSolder";1;"0.3p";;;
12;"C13,C16,C8,C15,C2";"CP_EIA-2012-12_Kemet-R_Pad1.30x1.05mm_HandSolder";5;"22u";;;
13;"L2";"L_0805_2012Metric_Pad1.15x1.40mm_HandSolder";1;"8.2n";;;
14;"TP6";"TestPoint_Pad_D1.0mm";1;"TX2_POST";;;
15;"C35,C28,C29,C38";"C_0805_2012Metric_Pad1.18x1.45mm_HandSolder";4;"NC";;;
16;"TP1";"TestPoint_Pad_D1.0mm";1;"TX1_PRE";;;
17;"Q6";"TSOT-23_HandSoldering";1;"Q_PNP_BEC";;;
18;"R51,R39,R38,R53";"R_0805_2012Metric_Pad1.20x1.40mm_HandSolder";4;"0";;;
19;"L17,L26";"L_0805_2012Metric_Pad1.15x1.40mm_HandSolder";2;"2.2n";;;
20;"L12,L23";"L_0805_2012Metric_Pad1.15x1.40mm_HandSolder";2;"3.3n";;;
21;"L1";"L_Changjiang_FNR5045S";1;"1u";;;
22;"J6";"PinHeader_1x02_P2.54mm_Vertical";1;"RDM630_ANT_CONN";;;
23;"Q4";"SOT-223-3_TabPin2";1;"PZT3904";;;
24;"C18,C22,C86,C41,C119,C3,C56,C64,C11";"CP_EIA-2012-12_Kemet-R_Pad1.30x1.05mm_HandSolder";9;"10u";;;
25;"R14,R59,R10,R24";"R_0805_2012Metric_Pad1.20x1.40mm_HandSolder";4;"1.5K";;;
26;"R33,R47";"R_0805_2012Metric_Pad1.20x1.40mm_HandSolder";2;"56K";;;
27;"R25";"R_0805_2012Metric_Pad1.20x1.40mm_HandSolder";1;"22k";;;
28;"USB_OTG1,USB_UART1";"USB_C_Receptacle_HRO_TYPE-C-31-M-12";2;"USB_C_Receptacle_USB2.0_16P";;;
29;"J10,J8";"PinSocket_1x14_P1.27mm_Vertical";2;"Conn_01x14";;;
30;"L18,L19,L4,L5,L20,L7";"L_0805_2012Metric_Pad1.15x1.40mm_HandSolder";6;"0";;;
31;"R12,R20,R7";"R_0805_2012Metric_Pad1.20x1.40mm_HandSolder";3;"100k";;;
